CITY;STATE;populacao;unidades_domesticas_percapita;idosos_percapita;GDP_CAPITA;TV_assinatura/por_residencia;empresa/percapita;carros_percapita;motos/percapita;IDH
Abadia Dos Dourados;MG;6704;0,34725537;0,087857995;255920000;0,033075601;0,067642461;0,316470087;0,162285065;6890
Abaeté;MG;22690;0,339092111;0,118157779;182500000;0,15986483;0,026342581;0,293883092;0,125265123;6980
Abre Campo;MG;13311;0,295244535;0,074599955;136900000;0,159033079;0,026883287;0,206760892;0,134853563;6540
Acaiaca;MG;3920;0,32244898;0,085459184;89690000;0,181170886;0,014774686;0,221374046;0,147254371;6300
Aguanil;MG;4054;0,33374445;0,083127775;147020000;0,111603843;0,020653654;0,241715842;0,067181117;6630
Aimorés;MG;24959;0,330221563;0,120517649;159590000;0,109924776;0,019063922;0,146636579;0,188227055;6840
Aiuruoca;MG;6162;0,329113924;0,080168776;158460000;0,23964497;0,017994859;0,254659383;0,1468509;6680
Alagoa;MG;2709;0,322997416;0,060169804;114060000;0,185142857;0,012699565;0,173802612;0,120464441;6490
Albertina;MG;2913;0,308616547;0,1033299;257960000;0,131256952;0,023684211;0,311513158;0,124671053;6730
Alfenas;MG;73774;0,314989021;0,114471223;289650000;0,237498924;0,031001489;0,343465199;0,127969503;7610
Alfredo Vasconcelos;MG;6075;0,293168724;0,068148148;138960000;0,185289163;0,019376956;0,218810553;0,133402892;6750
Almenara;MG;38775;0,298413926;0,099832366;114200000;0,076138622;0,018482865;0,118814979;0,161315941;6420
Alpercata;MG;7172;0,308839933;0,096625767;102190000;0,036568849;0,012538349;0,109777244;0,096838735;6460
Alpinópolis;MG;18488;0,304251406;0,094169191;175990000;0,096355556;0,025074718;0,366952029;0,116812725;7250
Alterosa;MG;13717;0,332434206;0,104541809;146790000;0,129166667;0,020008279;0,302745964;0,185663033;6680
Alto Caparaó;MG;5297;0,325656032;0,085897678;151850000;0,162318841;0,020180932;0,266527488;0,195546277;6610
Alto Jequitibá;MG;8318;0,328925222;0,096056744;121890000;0,143640351;0,019824047;0,290791789;0,200469208;6600
Alto Rio Doce;MG;12159;0,296734929;0,065794884;113580000;0,059866962;0,015179783;0,166383989;0,197337178;6200
Alvarenga;MG;4444;0,316156616;0,077182718;88540000;0,034875445;0,008480565;0,163015312;0,251118963;5920
Alvinópolis;MG;15261;0,304501671;0,107725575;172180000;0,218420486;0,01966814;0,177782049;0,137228522;6760
Alvorada De Minas;MG;3546;0,272419628;0,040891145;128710000;0,075569358;0,014717907;0,147724176;0,124284546;5720
Além Paraíba;MG;34349;0,325773676;0,136015605;229190000;0,255138517;0,082078503;0,396032965;0,154434977;7260
Amparo Do Serra;MG;5053;0,290322581;0,080348308;94620000;0,093387866;0,009298565;0;0;6410
Andradas;MG;37270;0,328199624;0,106251677;211570000;0,121157619;0,033385305;0,372707699;0,162991561;7340
Andrelândia;MG;12173;0,326295901;0,124784359;156180000;0,136958711;0,021907732;0,248900616;0,071080195;7000
Angelândia;MG;8003;0,264150943;0,043483694;93950000;0,059602649;0,008350976;0,106563162;0,148670901;5970
Antônio Carlos;MG;11114;0,312218823;0,095465179;121640000;0,174351585;0,012344613;0,226519337;0,103418508;6830
Antônio Dias;MG;9565;0,300888657;0,051542081;149820000;1,020847811;0,011801242;0,158592133;0,10310559;6450
Antônio Prado De Minas;MG;1671;0,332734889;0,12866547;127610000;0,066546763;0,026347305;0,238323353;0,21497006;6840
Aracitaba;MG;2058;0,340621963;0,144800777;104910000;0,068473609;0,017992424;0,174715909;0,099905303;6610
Araguari;MG;109801;0,323630932;0,120554458;335740000;0,166765161;0,026593424;0,339220166;0,222638636;7730
Arantina;MG;2823;0,330145236;0,13779667;185670000;0,100858369;0,020159889;0,257907543;0,114007647;6970
Araponga;MG;8152;0,29109421;0,039867517;97420000;0,066160978;0,011380969;0,13093981;0,216238414;5360
Araporã;MG;6144;0,292317708;0,090169271;1610580000;0,115256125;0,027542057;0,167485485;0,120440673;7080
Arapuá;MG;2775;0,355315315;0,122162162;406200000;0,027383367;0,014588399;0,248002779;0,158040986;7240
Araxá;MG;93672;0,313145871;0,110491929;460980000;0,215491085;0,029461597;0,383446126;0,140666299;7720
Araçaí;MG;2243;0,320552831;0,108337049;191850000;0,367176634;0,017789072;0,157136806;0,055061415;6950
Araçuaí;MG;36013;0,276622331;0,07369561;97960000;0,091246738;0,015783691;0,091298872;0,201034381;6630
Araújos;MG;7883;0,31193708;0,090574654;299480000;0,069540464;0,028700056;0,260551491;0,132695554;6980
Arceburgo;MG;9509;0,302239983;0,115574719;250640000;0,193458594;0,022427944;0,285550678;0,108608513;6830
Arcos;MG;36597;0,316419379;0,103915621;277570000;0,119516408;0,042011281;0,363077623;0,183979563;7490
Areado;MG;13731;0,327725584;0,11798121;146180000;0,053111111;0,034947142;0,330684802;0,081475995;7270
Argirita;MG;2901;0,32333678;0,144777663;106420000;0,106609808;0,022964509;0,177453027;0,064022269;6430
Aricanduva;MG;4770;0,272955975;0,036687631;73660000;0,0453149;0,013770365;0,076221877;0,146431342;5820
Arinos;MG;17674;0,295745162;0,065237071;112000000;0,109431796;0,012011847;0,141893374;0,109477841;6560
Astolfo Dutra;MG;13049;0,314430225;0,125910031;197770000;0,161832805;0,035495367;0,227156094;0,146828225;6940
Ataléia;MG;14455;0,304600484;0,074576271;106020000;0,034749035;0,009786285;0,083255379;0,103187738;5880
Augusto De Lima;MG;4960;0,302016129;0,067741935;136050000;0,074098798;0,013314785;0,130564388;0,074324324;6560
Açucena;MG;10276;0,297878552;0,073180226;94040000;0,034302516;0,007550169;0,120405325;0,166103715;6100
Baependi;MG;18307;0,306494783;0,103239198;140490000;0,13330957;0,028828174;0,257583628;0,168553916;6810
Baldim;MG;7913;0,322001769;0,095918109;126840000;0,489795918;0,01699541;0,212380598;0,096638134;6710
Bambuí;MG;22734;0,352247735;0,130465382;242680000;0,139485514;0,020345922;0,340741979;0,100601604;7410
Bandeira;MG;4987;0,30479246;0,063966312;90350000;0,015789474;0,01159768;0,048990202;0,096380724;5990
Bandeira Do Sul;MG;5338;0,319408018;0,110340952;115280000;0,157184751;0,023826209;0,320777856;0,079887877;6920
Barbacena;MG;126284;0,313333439;0,114004941;188850000;0,227880411;0,020282856;0,304073504;0,102040065;7690
Barra Longa;MG;6143;0,31629497;0,069021651;120620000;0,235203294;0,011208406;0,150963222;0,151313485;6240
Barroso;MG;19599;0,309760702;0,112607786;151000000;0,075770054;0,025541126;0,275036075;0,124963925;7340
Barão De Cocais;MG;28442;0,299346038;0,080690528;200340000;0,320178529;0,019982294;0,271057291;0,122865815;7220
Barão De Monte Alto;MG;5720;0,309965035;0,13513986;80390000;0,099266779;0,012508809;0,125440451;0,12931642;6490
Bela Vista De Minas;MG;10004;0,288884446;0,114554178;148270000;0,312110727;0,016251563;0,282815655;0,058659486;6740
Belmiro Braga;MG;3403;0,320011754;0,082868058;149170000;0,261707989;0,020274129;0,189320388;0,059680183;6600
Belo Horizonte;MG;2375151;0,321210736;0,121925301;351220000;0,621839135;0,041324458;0,572541498;0,098850545;8100
Belo Oriente;MG;23397;0,290421849;0,076633756;536600000;0,055923473;0,012705155;0,189418807;0,094381155;6860
Belo Vale;MG;7536;0,32829087;0,064490446;167760000;0,331447049;0,022225061;0,272193128;0,145229276;6550
Berilo;MG;12300;0,268699187;0,032926829;70360000;0,032980333;0,011053736;0,071405519;0,172744877;6280
Berizal;MG;4370;0,286270023;0,062700229;95470000;0,071143086;0,013003624;0,091451716;0,160520145;6040
Bertópolis;MG;4498;0,265451312;0,088039129;80150000;0,067001675;0,008135303;0,051594948;0,067223293;5940
Betim;MG;378089;0,298043582;0,069002272;595340000;0,254599022;0,016561936;0,275129394;0,0759363;7490
Bias Fortes;MG;3793;0,318745057;0,079883997;88460000;0,129032258;0,006304825;0,156798246;0,094024123;6200
Bicas;MG;13653;0,336922288;0,160770527;160090000;0,277608696;0,037359298;0,332090325;0,087424902;7440
Biquinhas;MG;2630;0,371863118;0,1121673;148530000;0,114519427;0,028136882;0,295057034;0,126996198;6880
Boa Esperança;MG;38516;0,300991796;0,108058988;216830000;0,068662124;0,030065327;0,318049094;0,114817381;7040
Bocaina De Minas;MG;5007;0,35729978;0,076892351;97990000;0,088876467;0,028185328;0,277992278;0,199034749;6450
Bocaiúva;MG;46654;0,288442577;0,071612295;146060000;0,117485324;0,026557896;0,181836403;0,15301357;7000
Bom Despacho;MG;45624;0,319020691;0,108583202;231010000;0,18797664;0,031117825;0,335407855;0,125135952;7500
Bom Jardim De Minas;MG;6501;0,34240886;0,1347485;178750000;0,133872417;0,029482551;0,326865223;0,128910951;6730
